name,grade_scale,price_jpy,price_php,price_sgd,price_usd,price_myr,price_thb,price_idr,stock,release_date,cancellation_deadline,sku,image_url,image_urls,affiliate_url,scraped_at,notes
Mobile Fighter G Gundam: Devil Gundam T-Shirt / Black-Xl,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR17001-2,https://www.hlj.com/productimages/csp/cspr17001-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr17001-2_0.jpg'],https://www.hlj.com/mobile-fighter-g-gundam-devil-gundam-t-shirt-black-xl-cspr17001-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:55:28+08:00,
Mobile Suit Gundam GQuuuuuuX: Gundam Says T-Shirt / Black-XL,Unknown,"¥3,744",1412.7,30.16,23.58,93.26,769.02,404352.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR44773,https://www.hlj.com/productimages/csp/cspr44773_0.jpg,['https://www.hlj.com/productimages/csp/cspr44773_0.jpg'],https://www.hlj.com/mobile-suit-gundam-gquuuuuux-gundam-says-t-shirt-black-xl-cspr44773?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:55:35+08:00,
Mobile Suit Gundam: Noodle Spoon Mobile Suit Gundam / Zeon Forces,Unknown,"¥1,498",565.08,12.07,9.43,37.32,307.69,161784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR15635-4,https://www.hlj.com/productimages/csp/cspr15635-4_0.jpg,['https://www.hlj.com/productimages/csp/cspr15635-4_0.jpg'],https://www.hlj.com/mobile-suit-gundam-noodle-spoon-mobile-suit-gundam-zeon-forces-cspr15635-4?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:55:41+08:00,
Mobile Fighter G Gundam: God Gundam T-Shirt / Black-L,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR18634-2,https://www.hlj.com/productimages/csp/cspr18634-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr18634-2_0.jpg'],https://www.hlj.com/mobile-fighter-g-gundam-god-gundam-t-shirt-black-l-cspr18634-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:55:48+08:00,
Mobile Fighter G Gundam: Devil Gundam T-Shirt / Black-L,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR17000-2,https://www.hlj.com/productimages/csp/cspr17000-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr17000-2_0.jpg'],https://www.hlj.com/mobile-fighter-g-gundam-devil-gundam-t-shirt-black-l-cspr17000-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:55:55+08:00,
Mobile Fighter G Gundam: God Gundam T-Shirt / Black-Xl,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR18635-2,https://www.hlj.com/productimages/csp/cspr18635-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr18635-2_0.jpg'],https://www.hlj.com/mobile-fighter-g-gundam-god-gundam-t-shirt-black-xl-cspr18635-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:56:01+08:00,
Mobile Suit Gundam: Hathaway's Flash: Gundam !? T-shirt WHITE XL,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR25709-2,https://www.hlj.com/productimages/csp/cspr25709-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr25709-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-hathaway-s-flash-gundam-t-shirt-white-xl-cspr25709-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:56:08+08:00,
Mobile Suit Gundam 00: Arios Gundam Standby T-Shirt / Black-Xl,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR17014-2,https://www.hlj.com/productimages/csp/cspr17014-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr17014-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-00-arios-gundam-standby-t-shirt-black-xl-cspr17014-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:56:14+08:00,
Mobile Suit Gundam: E.F.S.F. Patch,Unknown,"¥1,498",565.08,12.07,9.43,37.32,307.69,161784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR06379-3,https://www.hlj.com/productimages/csp/cspr06379-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr06379-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-e-f-s-f-patch-cspr06379-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:56:20+08:00,
Mobile Suit V Gundam: V2 Assault Buster Gundam T-Shirt / Indigo-M,Unknown,"¥3,744",1412.7,30.16,23.58,93.26,769.02,404352.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR41459,https://www.hlj.com/productimages/csp/cspr41459_0.jpg,['https://www.hlj.com/productimages/csp/cspr41459_0.jpg'],https://www.hlj.com/mobile-suit-v-gundam-v2-assault-buster-gundam-t-shirt-indigo-m-cspr41459?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:56:27+08:00,
